Country,Confirmed_Cases,Suspected_Cases,Hospitalized,Travel_History_Yes,Travel_History_No
England,3320,0,5,2,7
Portugal,871,0,0,0,34
Spain,6884,0,13,2,0
United States,21761,0,4,41,11
Canada,1320,12,1,5,0
Sweden,168,0,0,0,0
Italy,805,0,18,19,4
France,3713,0,1,2,1
Belgium,726,0,2,1,0
Australia,129,0,2,9,0
Germany,3530,0,18,19,16
Netherlands,1195,0,0,1,0
Israel,244,0,3,5,0
Switzerland,485,0,0,3,0
Greece,66,0,2,2,0
Austria,286,0,2,1,0
Argentina,221,0,0,11,1
Denmark,181,0,0,3,1
Morocco,3,0,0,1,0
Slovenia,45,0,0,2,0
Scotland,89,0,1,1,0
Czech Republic,58,0,1,6,0
United Arab Emirates,16,0,0,1,0
Finland,30,0,0,3,0
Wales,45,0,0,0,0
Northern Ireland,30,0,0,0,0
Sudan,2,1,0,0,0
Bolivia,113,0,5,2,1
Iran,1,3,0,0,0
Ecuador,59,1,2,1,0
Malta,33,0,0,1,0
Ireland,160,0,0,0,0
Mexico,788,0,0,3,0
Pakistan,0,1,1,0,0
French Guiana,0,0,0,0,0
Thailand,7,0,4,4,0
Peru,1808,0,2,2,0
Brazil,5726,0,4,20,4
Malaysia,0,0,0,0,0
Hungary,71,0,0,0,0
Norway,83,0,0,3,0
Paraguay,1,0,0,2,0
Costa Rica,3,2,1,3,0
Gibraltar,6,0,1,0,0
Mauritius,0,0,0,2,1
Haiti,0,0,0,0,0
Uruguay,5,0,0,5,0
Latvia,4,0,0,1,0
Cayman Islands,0,1,0,0,0
Kosovo,0,0,1,0,0
Turkey,11,0,0,0,0
Bahamas,2,0,0,1,0
Ghana,76,317,1,0,0
India,11,0,4,4,1
Iceland,12,0,0,1,0
Poland,145,0,1,0,0
Bangladesh,0,0,0,0,0
Uganda,0,6,0,0,0
Cambodia,0,0,0,0,0
Malawi,0,0,0,0,0
Venezuela,3,0,0,3,0
Romania,36,0,7,0,0
Georgia,2,0,0,0,0
Slovakia,14,0,2,3,0
Luxembourg,54,0,0,0,0
Nepal,0,0,1,1,0
Chile,486,0,2,2,0
Serbia,31,0,0,0,0
Lebanon,8,0,0,4,0
South Korea,3,0,2,1,0
Singapore,16,0,8,4,0
South Africa,5,0,0,3,2
Taiwan,4,0,1,3,0
Colombia,938,0,0,3,0
Croatia,27,0,0,1,0
Bulgaria,5,0,1,3,0
Somalia,0,3,3,1,0
Zambia,0,1,0,1,0
Fiji,0,0,0,0,0
Benin,3,0,0,2,1
Estonia,10,0,0,1,0
Puerto Rico,137,0,0,6,0
Panama,12,0,0,3,0
Dominican Republic,9,0,4,1,0
Jamaica,9,0,0,2,4
New Zealand,5,0,0,4,0
Russia,1,0,0,1,0
Bosnia And Herzegovina,3,0,0,0,0
Saudi Arabia,8,0,1,3,0
Martinique,6,0,0,1,0
Barbados,1,0,0,0,0
Qatar,3,0,1,0,0
Bermuda,1,0,0,0,0
Japan,4,0,4,3,0
Guadeloupe,1,0,0,1,0
Andorra,4,0,0,0,0
New Caledonia,1,0,0,0,0
China,0,0,0,0,0
Philippines,4,0,1,3,1
Montenegro,2,0,0,0,0
Cyprus,5,0,3,2,0
Lithuania,5,0,0,0,0
Guatemala,12,0,0,0,0
Saint Martin (French part),1,0,0,0,0
Greenland,2,0,0,0,0
Moldova,2,0,1,0,0
Honduras,4,0,0,0,0
Monaco,3,0,0,0,0
Indonesia,1,0,0,1,0
Curaçao,1,0,0,1,0
Aruba,2,0,0,0,0
Cuba,2,0,2,2,0
Guyana,2,0,2,0,0
El Salvador,1,0,0,0,0
Belize,0,0,0,0,0
Hong Kong,1,0,1,1,0
South Sudan,2,0,0,0,0
Egypt,1,0,1,0,0
Nigeria,220,310,0,0,0
Democratic Republic Of The Congo,196,2681,0,0,0
Central African Republic,8,9,0,0,0
Republic of Congo,3,5,0,0,0
Cameroon,7,27,0,0,0
Liberia,2,0,0,0,0
Sierra Leone,0,2,0,0,0
